"setting","version","epoch","time"
3,3,54,1154.58
3,3,56,1130.78
3,3,58,1067.72
3,3,57,1097.05
3,3,59,1079.55
4,1,42,1440.93
3,3,60,1156.08
4,1,41,1465.55
4,1,43,1432.84
4,1,45,1460.79
4,1,48,1449.67
4,1,44,1499.89
4,1,46,1474.64
4,1,51,1408.82
4,1,50,1476.52
4,1,53,1452.85
4,1,47,1540.25
4,1,52,1509.36
4,1,55,1493.04
4,1,54,1485
4,1,49,1556.75
4,1,56,1462.79
4,1,58,1412.66
4,1,57,1455.43
4,1,59,1421.89
5,1,42,1579.73
4,1,60,1541.33
5,1,41,1608.11
5,1,43,1569.24
5,1,45,1613.41
5,1,48,1597.65
5,1,51,1557.09
5,1,46,1616.75
5,1,44,1647.86
5,1,53,1594.69
5,1,50,1623.7
5,1,47,1695.12
5,1,52,1665.69
5,1,55,1648.9
5,1,54,1643.57
5,1,56,1616.13
5,1,49,1715.89
5,1,58,1551.14
5,1,57,1605.83
5,1,59,1577.97
5,2,42,1656.08
5,1,60,1709.99
5,2,41,1686.47
5,2,43,1663.8
5,2,51,1633.36
5,2,48,1668.61
5,2,45,1695.83
5,2,46,1704.66
5,2,44,1732.64
5,2,53,1680.8
5,2,50,1716.42
5,2,47,1789.57
5,2,52,1748.83
5,2,54,1724.25
5,2,55,1741.92000000001
5,2,56,1693.71
5,2,58,1636.82999999999
5,2,49,1804.51
5,2,59,1647.52
5,2,57,1688.67000000001
5,2,60,1801.42
5,3,42,1917.71
1,1,61,1.47000000000116
1,2,61,1.33999999999651
1,3,61,1.22000000000116
5,3,41,1970.65
1,1,62,1.25
1,2,62,1.15999999999622
1,3,62,1.16999999999825
5,3,43,1923.16
1,1,63,1.59000000000378
1,2,63,1.22000000000116
1,3,63,1.05999999999767
5,3,51,1912.7
1,1,64,1.58999999999651
1,2,64,1.18000000000029
1,3,64,1.05999999999767
5,3,48,1962.66
1,1,65,1.37000000000262
1,2,65,1.56999999999971
1,3,65,1.2699999999968
5,3,45,1986.02
1,1,66,1.34000000000378
1,2,66,1.30000000000291
1,3,66,1.31999999999971
5,3,46,1985.48
1,1,67,1.72000000000116
1,2,67,1.45999999999913
1,3,67,1.11000000000058
2,1,61,663.349999999999
5,3,44,2026.58
1,1,68,1.48999999999796
1,2,68,1.62999999999738
1,3,68,1.15999999999622
5,3,53,1962.93
1,1,69,1.96999999999389
1,2,69,1.5
1,3,69,1.22000000000116
5,3,50,2001.07
1,1,70,1.45000000000437
1,2,70,1.5
1,3,70,1.06999999999971
2,1,62,659.190000000002
5,3,52,2059.92
1,1,71,1.36000000000058
1,2,71,1.55999999999767
1,3,71,1.15000000000146
5,3,58,1913.68
1,1,72,1.64000000000669
1,2,72,1.34000000000378
1,3,72,1.07999999999447
5,3,47,2099.91
1,1,73,1.06999999999971
1,2,73,1.31999999999971
1,3,73,1.38999999999942
5,3,54,2021.79
1,1,74,1.34999999999854
1,2,74,1.2300000000032
1,3,74,1.02999999999884
2,1,63,681.889999999999
5,3,55,2043.22
1,1,75,1.45000000000437
1,2,75,1.20999999999913
5,3,56,1991.49
1,3,75,1.16999999999825
1,1,76,1.15999999999622
1,2,76,1.05999999999767
1,3,76,1.15999999999622
5,3,59,1933.44
1,1,77,1.5
1,2,77,1.41999999999825
1,3,77,1.29999999999563
2,1,64,707.309999999998
5,3,57,1982.63
1,1,78,1.36000000000058
1,2,78,1.55999999999767
1,3,78,1.31000000000495
2,1,65,675.639999999999
2,2,61,536.640000000007
2,1,66,680.459999999999
5,3,49,2121.64
1,1,79,1.58000000000175
1,2,79,1.72000000000116
1,3,79,1.29999999999563
2,1,67,689.419999999998
2,1,68,687
2,2,62,524.360000000001
2,1,69,697.07
2,1,70,643.849999999999
2,2,63,555.68
2,3,61,342.560000000005
2,1,71,691.170000000006
2,1,73,672.110000000001
2,1,72,689.5
2,1,74,687.139999999999
2,1,75,697.950000000004
2,1,76,716.639999999999
2,2,65,519.120000000003
2,2,64,565.549999999996
2,3,62,345.800000000003
5,3,60,2141.84
1,1,80,1.44000000000233
1,2,80,1.17000000000553
1,3,80,1.12000000000262
2,2,66,542.889999999999
2,1,77,694.150000000001
2,1,78,682.060000000005
2,2,67,538.940000000002
2,1,79,680.919999999998
2,2,68,550.619999999995
2,2,69,530.019999999997
2,2,70,537.080000000002
2,3,63,334.150000000001
3,1,61,354.32
2,3,65,320.440000000002
2,3,64,360.360000000001
2,2,71,531.940000000002
2,2,73,532.360000000001
3,1,62,372.050000000003
2,3,66,352.32
2,2,72,548.719999999994
2,2,74,530.32
2,3,67,337.260000000002
2,2,75,544.43
2,2,76,561.200000000004
2,3,69,344.529999999999
2,3,68,359.540000000001
2,2,77,540.669999999998
2,3,70,355.290000000001
2,2,78,518.940000000002
3,1,63,368.220000000001
2,2,79,517.910000000003
2,1,80,700.099999999999
3,1,65,375.919999999998
2,3,71,330.029999999999
3,1,64,369.909999999996
2,3,73,342.519999999997
3,2,61,573.080000000002
2,3,72,348.769999999997
2,3,74,351.889999999999
3,1,66,376.229999999996
2,3,75,355.599999999999
3,1,67,365.639999999999
2,3,76,368.549999999996
3,1,69,381.310000000005
2,3,77,348.840000000004
3,1,68,378.269999999997
3,2,62,585.459999999999
2,3,78,340.709999999999
3,1,70,376.389999999999
2,3,79,320.889999999999
3,1,71,375.690000000002
3,1,73,354.480000000003
3,2,63,600.529999999999
2,2,80,555.169999999998
3,1,72,371.190000000002
3,1,74,394.670000000006
3,1,75,374.799999999996
3,1,76,379.239999999998
3,2,65,614.790000000001
3,2,64,590.470000000001
3,1,77,370.010000000002
3,1,78,362.239999999998
3,2,66,598.459999999999
3,1,79,372.090000000004
3,2,67,584.200000000004
3,2,69,595.029999999999
3,2,68,603.889999999999
3,2,70,591.699999999997
2,3,80,328.379999999997
3,3,61,1069.6
3,2,73,562.860000000001
3,2,71,595.950000000004
3,2,72,604.019999999997
3,2,75,596.790000000001
3,2,74,646.840000000004
3,2,76,610.709999999999
3,3,62,1104.24
3,2,77,598.310000000005
3,2,78,582.510000000002
3,1,80,361.919999999998
3,2,79,592.419999999998
3,3,63,1125.55
3,3,64,1094.19
3,3,65,1123.36
3,3,66,1103.94
3,3,67,1114.97
3,3,69,1119.14
3,3,68,1115.14
3,3,70,1094.84
3,2,80,574.470000000001
3,3,73,1068.72
3,3,71,1133.75
3,3,72,1103.19
3,3,75,1113.16
3,3,74,1161.51
3,3,76,1140.84
4,1,61,1403.59
3,3,77,1117.4
3,3,78,1111.25
3,3,79,1078.44
4,1,62,1439.56
4,1,63,1447.04
3,3,80,1077.84
4,1,64,1410.25
4,1,65,1462.3
4,1,66,1428.69
4,1,67,1431.95
4,1,70,1415.81
4,1,68,1448.74
4,1,69,1464.91
4,1,73,1356.11
4,1,71,1483.32999999999
4,1,72,1472.48
4,1,75,1483.75
4,1,78,1431.06
4,1,79,1409.57
4,1,77,1473.91
4,1,74,1544.88
4,1,76,1510.11
5,1,61,1534.73
5,1,62,1572.6
5,1,63,1589.25
4,1,80,1424.64000000001
5,1,64,1556.28
5,1,66,1580.27
5,1,65,1605.78
5,1,67,1569.91
5,1,70,1575.03
5,1,68,1595.64
5,1,73,1499.77
5,1,69,1609.53
5,1,71,1632.55
5,1,72,1612.89
5,1,79,1552.54
5,1,75,1644.26
5,1,78,1581.17
5,1,77,1616.84
5,2,61,1603.48
5,1,76,1674.37
5,1,74,1707.91
5,2,62,1667.96999999999
5,1,80,1607.14
5,2,63,1695.53
5,2,64,1664.94
5,2,66,1683.11
5,2,65,1716.06
5,2,67,1694.44
5,2,70,1681.11
5,2,73,1623.07
5,2,68,1716.29
5,2,69,1737.84
5,2,72,1753.81
5,2,71,1769.45
5,2,79,1690.55
5,2,78,1716.36
5,2,75,1783.26
5,2,77,1759.14
5,2,76,1810.94
5,2,74,1856.99
5,3,61,1922.31
1,1,81,1.45999999999913
1,2,81,1.32999999999447
1,3,81,1.12000000000262
5,3,62,1947.56
1,1,82,1.75
1,2,82,1.62999999999738
1,3,82,1.02999999999884
5,2,80,1688.71
5,3,63,1976.09
1,1,83,1.87000000000262
1,2,83,1.20999999999913
2,1,81,635.479999999996
1,3,83,1.36000000000058
5,3,64,1938.6
1,1,84,1.31999999999971
1,2,84,1.21999999999389
1,3,84,1.22000000000116
5,3,66,1950.11
1,1,85,1.47000000000116
1,2,85,1.44999999999709
1,3,85,1.54000000000087
5,3,65,1997.47
1,1,86,1.11000000000058
5,3,67,1976.9
1,2,86,1.23999999999796
1,3,86,1.48999999999796
1,1,87,1.45999999999913
1,2,87,1.27999999999884
1,3,87,1.40999999999622
5,3,73,1876.4
1,1,88,1.36000000000058
1,2,88,1.27999999999884
1,3,88,1.09999999999854
5,3,70,1944.09
1,1,89,1.40999999999622
1,2,89,1.30999999999767
1,3,89,1.15999999999622
2,1,82,632.239999999998
5,3,68,1979.91
1,1,90,1.7300000000032
1,2,90,1.32999999999447
1,3,90,1.0199999999968
5,3,69,2004.08
1,1,91,1.36000000000058
1,2,91,1.5
1,3,91,1.12999999999738
2,2,81,497.590000000004
2,1,83,673.540000000001
2,1,84,681.269999999997
5,3,79,1934.37
1,1,92,1.59999999999854
1,2,92,1.38999999999942
1,3,92,1.43000000000029
5,3,72,2007.5
1,1,93,1.34000000000378
1,2,93,1.40999999999622
1,3,93,1.05999999999767
5,3,71,2035.78
1,1,94,1.38999999999942
1,2,94,1.43999999999505
1,3,94,0.889999999999418
5,3,78,1981.09
1,1,95,1.44999999999709
1,2,95,1.47000000000116
1,3,95,1.16999999999825
2,1,85,679.669999999998
2,2,82,518.32
5,3,75,2036.84
1,1,96,1.77999999999884
1,2,96,1.38999999999942
1,3,96,1.55999999999767
2,1,86,673.040000000001
2,3,81,319.419999999998
2,1,87,689.540000000001
2,1,88,670.889999999999
5,3,77,2038.44
